ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
880,G360524,06/21/2001 01:27:00 AM,064XX S KENWOOD AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0314,003,20,42,01A,1186174,1862666,2001,03/19/2019 04:11:22 PM,41.778282502,-87.593020945,"(41.778282502, -87.593020945)"
919,G395545,07/07/2001 02:45:00 AM,071XX S BENNETT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0333,003,5,43,01A,1189942,1858016,2001,03/19/2019 04:11:22 PM,41.765432686,-87.579356945,"(41.765432686, -87.579356945)"
923,G401538,07/09/2001 09:15:00 PM,073XX S RIDGELAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,0324,003,8,43,01A,1189141,1856839,2001,03/19/2019 04:11:22 PM,41.762222128,-87.58233048,"(41.762222128, -87.58233048)"
939,G415400,07/16/2001 02:55:00 PM,071XX S BENNETT AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,0333,003,5,43,01A,1189941,1858068,2001,03/19/2019 04:11:22 PM,41.765575403,-87.57935894,"(41.765575403, -87.57935894)"
950,G422804,07/19/2001 05:00:00 AM,061XX S UNIVERSITY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0314,003,20,42,01A,1184831,1864436,2001,03/19/2019 04:11:22 PM,41.783171157,-87.597888885,"(41.783171157, -87.597888885)"
961,G433755,07/23/2001 10:15:00 PM,012XX E 73 ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,0324,003,,,01A,1185889,1856857,2001,03/19/2019 04:11:22 PM,41.762348813,-87.594248757,"(41.762348813, -87.594248757)"
25672,JD462566,12/18/2020 03:31:00 PM,020XX E 71ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0331,003,5,43,01A,1191222,1858327,2020,12/25/2020 03:47:23 PM,41.76625521,-87.574655369,"(41.76625521, -87.574655369)"
25055,JD216615,04/25/2020 04:20:00 AM,003XX E 61ST ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0311,003,20,40,01A,1179199,1864630,2020,06/20/2020 03:48:45 PM,41.783833844,-87.618531528,"(41.783833844, -87.618531528)"
24740,JC428965,09/11/2019 02:48:00 PM,024XX E 74TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0334,003,7,43,01A,1193709,1856366,2019,06/20/2020 03:48:45 PM,41.760813522,-87.565603941,"(41.760813522, -87.565603941)"
25674,JD463716,12/19/2020 04:01:00 PM,068XX S CORNELL AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0332,003,5,43,01A,1188384,1859893,2020,12/26/2020 03:51:09 PM,41.770620668,-87.58500756,"(41.770620668, -87.58500756)"
